# Matter power spectrum P(k) at redshift z=0
# for k=9.56569e-06 to 0.575947 h/Mpc,
# number of wavenumbers equal to 563
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.204325297640e-02       3.607628710278e+04 
       1.216162701117e-02       3.613174023894e+04 
       1.228003659298e-02       3.618651727589e+04 
       1.239848169137e-02       3.623684414481e+04 
       1.251696230074e-02       3.628229900254e+04 
       1.263547843975e-02       3.632687266962e+04 
       1.275403015080e-02       3.636624507541e+04 
       1.287261749960e-02       3.640463615936e+04 
       1.299124057468e-02       3.643847106453e+04 
       1.310989948705e-02       3.646872408670e+04 
       1.322859436979e-02       3.649728568565e+04 
       1.334732537775e-02       3.652158766473e+04 
       1.346609268726e-02       3.654247590847e+04 
       1.358489649586e-02       3.656342781479e+04 
       1.370373702206e-02       3.657965166820e+04 
       1.382261450514e-02       3.659300102301e+04 
       1.394152920496e-02       3.660337833852e+04 
       1.406048140184e-02       3.660970921365e+04 
       1.417947139639e-02       3.661647834836e+04 
       1.429849950943e-02       3.661868339523e+04 
       1.441756608192e-02       3.661691058343e+04 
       1.453667147487e-02       3.661419967465e+04 
       1.465581606932e-02       3.661020961215e+04 
       1.477500026632e-02       3.660085608521e+04 
       1.489422448696e-02       3.659011806875e+04 
       1.501348917235e-02       3.657873330116e+04 
       1.513279478368e-02       3.656185894138e+04 
       1.525214180230e-02       3.654543085691e+04 
       1.537153072978e-02       3.652382541069e+04 
       1.549096208802e-02       3.650282614605e+04 
       1.561043641935e-02       3.647663715721e+04 
       1.572995428667e-02       3.644958554273e+04 
       1.584951627361e-02       3.642042672721e+04 
       1.596912298470e-02       3.638886080730e+04 
       1.608877504553e-02       3.635540111133e+04 
       1.620847310296e-02       3.631981970079e+04 
       1.632821782536e-02       3.628201147494e+04 
       1.644800990279e-02       3.624227718029e+04 
       1.656785004732e-02       3.620045161466e+04 
       1.668773899322e-02       3.615796085931e+04 
       1.680767749732e-02       3.611132245750e+04 
       1.692766633922e-02       3.606461910501e+04 
       1.704770632168e-02       3.601402906789e+04 
       1.716779827091e-02       3.596209956194e+04 
       1.728794303693e-02       3.590944253153e+04 
       1.740814149392e-02       3.585401444405e+04 
       1.752839454060e-02       3.579857884145e+04 
       1.764870310066e-02       3.574005476116e+04 
       1.776906812310e-02       3.567841741446e+04 
       1.788949058276e-02       3.561782606954e+04 
       1.800997148067e-02       3.555410899850e+04 
       1.813051184457e-02       3.548808891195e+04 
       1.825111272938e-02       3.542131663882e+04 
       1.837177521770e-02       3.535299188705e+04 
       1.849250042032e-02       3.528339761197e+04 
       1.861328947679e-02       3.521285009796e+04 
       1.873414355593e-02       3.513896169662e+04 
       1.885506385643e-02       3.506543402772e+04 
       1.897605160747e-02       3.498859906137e+04 
