# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.221617123378e-02       3.540371160298e+04 
       1.233581634804e-02       3.544940756302e+04 
       1.245549705554e-02       3.549191319361e+04 
       1.257521334414e-02       3.552957283077e+04 
       1.269496522622e-02       3.556692105283e+04 
       1.281475273821e-02       3.559979985845e+04 
       1.293457594006e-02       3.562950410042e+04 
       1.305443491480e-02       3.565612670934e+04 
       1.317432976814e-02       3.567875303833e+04 
       1.329426062806e-02       3.570030993133e+04 
       1.341422764452e-02       3.571598033691e+04 
       1.353423098912e-02       3.573075220455e+04 
       1.365427085482e-02       3.574449281720e+04 
       1.377434745572e-02       3.575173734209e+04 
       1.389446102683e-02       3.576005386703e+04 
       1.401461182387e-02       3.576374313206e+04 
       1.413480012314e-02       3.576333463971e+04 
       1.425502622135e-02       3.576099779501e+04 
       1.437529043551e-02       3.575659882895e+04 
       1.449559310287e-02       3.574959461532e+04 
       1.461593458083e-02       3.574009196634e+04 
       1.473631524689e-02       3.572802021094e+04 
       1.485673549864e-02       3.571377648374e+04 
       1.497719575377e-02       3.569813049827e+04 
       1.509769645005e-02       3.567717264278e+04 
       1.521823804540e-02       3.565704222078e+04 
       1.533882101794e-02       3.563144232361e+04 
       1.545944586603e-02       3.560666847044e+04 
       1.558011310844e-02       3.557652802354e+04 
       1.570082328436e-02       3.554565656257e+04 
       1.582157695362e-02       3.551428370658e+04 
       1.594237469677e-02       3.547895897143e+04 
       1.606321711529e-02       3.544038525709e+04 
       1.618410483172e-02       3.540164978693e+04 
       1.630503848989e-02       3.535965803943e+04 
       1.642601875515e-02       3.531628820818e+04 
       1.654704631453e-02       3.527233255154e+04 
       1.666812187706e-02       3.522493231045e+04 
       1.678924617399e-02       3.517452628397e+04 
       1.691041995906e-02       3.512376388299e+04 
       1.703164400882e-02       3.507181637560e+04 
       1.715291912294e-02       3.501610948912e+04 
       1.727424612450e-02       3.496000087644e+04 
       1.739562586037e-02       3.490241825575e+04 
       1.751705920156e-02       3.484076020637e+04 
       1.763854704358e-02       3.477908461946e+04 
       1.776009030683e-02       3.471574647745e+04 
       1.788168993705e-02       3.465234487750e+04 
       1.800334690568e-02       3.458398282621e+04 
       1.812506221039e-02       3.451754400005e+04 
       1.824683687543e-02       3.444665378014e+04 
       1.836867195221e-02       3.437561704505e+04 
       1.849056851973e-02       3.430385752729e+04 
       1.861252768515e-02       3.422929272859e+04 
       1.873455058425e-02       3.415280580094e+04 
       1.885663838207e-02       3.407632483963e+04 
       1.897879227340e-02       3.399878923550e+04 
       1.910101348344e-02       3.391944919641e+04 
       1.922330326835e-02       3.383797635515e+04 
       1.934566291594e-02       3.375499923028e+04 
       1.946809374629e-02       3.367220254658e+04 
       1.959059711243e-02       3.358781172196e+04 
       1.971317440105e-02       3.350071049251e+04 
       1.983582703321e-02       3.341315725073e+04 
       1.995855646508e-02       3.332624034774e+04 
       2.008136418873e-02       3.323619197256e+04 
       2.020425173289e-02       3.314541231075e+04 
       2.032722066381e-02       3.305413088073e+04 
       2.045027258607e-02       3.296180816107e+04 
       2.057340914346e-02       3.286776685271e+04 
       2.069663201988e-02       3.277258655173e+04 
       2.081994294029e-02       3.267776923556e+04 
       2.094334367162e-02       3.258116820578e+04 
       2.106683602380e-02       3.248257942758e+04 
       2.119042185077e-02       3.238455366751e+04 
       2.131410305150e-02       3.228459089870e+04 
       2.143788157111e-02       3.218517909105e+04 
       2.156175940197e-02       3.208384870459e+04 
       2.168573858486e-02       3.198151743689e+04 
       2.180982121017e-02       3.187869095859e+04 
       2.193400941909e-02       3.177524763309e+04 
       2.205830540493e-02       3.167138411177e+04 
       2.218271141438e-02       3.156609232600e+04 
       2.230722974889e-02       3.146046838606e+04 
       2.243186276606e-02       3.135407512768e+04 
       2.255661288105e-02       3.124714162790e+04 
       2.268148256811e-02       3.113959636348e+04 
       2.280647436207e-02       3.103130535498e+04 
       2.293159085995e-02       3.092234710692e+04 
       2.305683472259e-02       3.081292149169e+04 
       2.318220867631e-02       3.070285574850e+04 
       2.330771551471e-02       3.059231796519e+04 
       2.343335810041e-02       3.048116994683e+04 
       2.355913936697e-02       3.036955432694e+04 
       2.368506232077e-02       3.025743014346e+04 
       2.381113004302e-02       3.014483701835e+04 
       2.393734569181e-02       3.003186199972e+04 
       2.406371250425e-02       2.991903858859e+04 
       2.419023379865e-02       2.980449918672e+04 
       2.431691297683e-02       2.969014392421e+04 
       2.444375352641e-02       2.957526860124e+04 
       2.457075902333e-02       2.946046345304e+04 
       2.469793313431e-02       2.934503339663e+04 
       2.482527961950e-02       2.922932909048e+04 
       2.495280233515e-02       2.911323895645e+04 
       2.508050523645e-02       2.899749848429e+04 
       2.520839238040e-02       2.888084002396e+04 
       2.533646792884e-02       2.876368975707e+04 
       2.546473615153e-02       2.864600038464e+04 
