# Matter power spectrum P(k) at redshift z=0
# for k=9.68264e-06 to 0.582155 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.233599727518e-02       3.470809521622e+04 
       1.245651523844e-02       3.475916917225e+04 
       1.257706883438e-02       3.480540326144e+04 
       1.269765806340e-02       3.484781953219e+04 
       1.281828295026e-02       3.488777082631e+04 
       1.293894354358e-02       3.492571542095e+04 
       1.305963991537e-02       3.495838545415e+04 
       1.318037216056e-02       3.499083722138e+04 
       1.330114039666e-02       3.501798189442e+04 
       1.342194476336e-02       3.504242348784e+04 
       1.354278542222e-02       3.506577916587e+04 
       1.366366255637e-02       3.508355454018e+04 
       1.378457637024e-02       3.510204002663e+04 
       1.390552708936e-02       3.511446648328e+04 
       1.402651496011e-02       3.512567845845e+04 
       1.414754024957e-02       3.513474129974e+04 
       1.426860324536e-02       3.514051570003e+04 
       1.438970425553e-02       3.514450378837e+04 
       1.451084360844e-02       3.514537975283e+04 
       1.463202165268e-02       3.514329298958e+04 
       1.475323875702e-02       3.513895486273e+04 
       1.487449531039e-02       3.513117098791e+04 
       1.499579172183e-02       3.512312830193e+04 
       1.511712842054e-02       3.510995506175e+04 
       1.523850585586e-02       3.509752901607e+04 
       1.535992449736e-02       3.507976263746e+04 
       1.548138483488e-02       3.506272298901e+04 
       1.560288737862e-02       3.504168394608e+04 
       1.572443265923e-02       3.501737077639e+04 
       1.584602122796e-02       3.499220595947e+04 
       1.596765365674e-02       3.496477353907e+04 
       1.608933053841e-02       3.493676642092e+04 
       1.621105248682e-02       3.490426886487e+04 
       1.633282013705e-02       3.487023802803e+04 
       1.645463414562e-02       3.483612712542e+04 
       1.657649519070e-02       3.479726008516e+04 
       1.669840397233e-02       3.475904741744e+04 
       1.682036121272e-02       3.471760432881e+04 
       1.694236765647e-02       3.467292227647e+04 
       1.706442407086e-02       3.462775421579e+04 
       1.718653124621e-02       3.458244797326e+04 
       1.730868999612e-02       3.453202058297e+04 
       1.743090115784e-02       3.448317020424e+04 
       1.755316559263e-02       3.442982457689e+04 
       1.767548418612e-02       3.437577686513e+04 
       1.779785784869e-02       3.431963968213e+04 
       1.792028751586e-02       3.426377171715e+04 
       1.804277414873e-02       3.420347993211e+04 
       1.816531873441e-02       3.414297407691e+04 
       1.828792228644e-02       3.408092968972e+04 
       1.841058584531e-02       3.401744358135e+04 
       1.853331047892e-02       3.395243681854e+04 
       1.865609728310e-02       3.388744907694e+04 
       1.877894738210e-02       3.381796627349e+04 
       1.890186192918e-02       3.374862754115e+04 
       1.902484210715e-02       3.367787184106e+04 
       1.914788912895e-02       3.360619694542e+04 
       1.927100423825e-02       3.353217921376e+04 
       1.939418871010e-02       3.345826060173e+04 
       1.951744385154e-02       3.338198375857e+04 
       1.964077100227e-02       3.330435988305e+04 
       1.976417153538e-02       3.322601383020e+04 
       1.988764685799e-02       3.314586380542e+04 
       2.001119841206e-02       3.306515417534e+04 
       2.013482767507e-02       3.298274021571e+04 
