# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.575881 h/Mpc,
# number of wavenumbers equal to 560
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.225641095221e-02       3.539765547928e+04 
       1.237635185546e-02       3.544089194192e+04 
       1.249632836466e-02       3.548233293550e+04 
       1.261634047186e-02       3.551998270455e+04 
       1.273638819359e-02       3.555402201401e+04 
       1.285647157034e-02       3.558405390504e+04 
       1.297659066611e-02       3.561308766283e+04 
       1.309674556790e-02       3.563616862929e+04 
       1.321693638538e-02       3.565816153299e+04 
       1.333716325043e-02       3.567741777430e+04 
       1.345742631689e-02       3.569428849478e+04 
       1.357772576022e-02       3.570642536884e+04 
       1.369806177722e-02       3.571748178048e+04 
       1.381843458581e-02       3.572451490273e+04 
       1.393884442478e-02       3.572902829532e+04 
       1.405929155368e-02       3.572899793277e+04 
       1.417977625257e-02       3.572841869727e+04 
       1.430029882196e-02       3.572453114249e+04 
       1.442085958265e-02       3.571821034235e+04 
       1.454145887568e-02       3.570932911958e+04 
       1.466209706225e-02       3.569939008830e+04 
       1.478277452369e-02       3.568385703917e+04 
       1.490349166140e-02       3.566876918781e+04 
       1.502424889692e-02       3.564854614017e+04 
       1.514504667189e-02       3.562859031245e+04 
       1.526588544812e-02       3.560400077227e+04 
       1.538676570764e-02       3.557838080509e+04 
       1.550768795279e-02       3.555058427074e+04 
       1.562865270627e-02       3.551873652744e+04 
       1.574966051132e-02       3.548581473272e+04 
       1.587071193181e-02       3.545252922400e+04 
       1.599180755240e-02       3.541438053805e+04 
       1.611294797868e-02       3.537522429578e+04 
       1.623413383739e-02       3.533371091990e+04 
       1.635536577662e-02       3.529025403228e+04 
       1.647664446596e-02       3.524452673462e+04 
       1.659797059681e-02       3.519842880273e+04 
       1.671934488260e-02       3.514776692004e+04 
       1.684076805902e-02       3.509794653450e+04 
       1.696224088434e-02       3.504391038241e+04 
       1.708376413972e-02       3.498974237826e+04 
       1.720533862946e-02       3.493316196132e+04 
       1.732696518138e-02       3.487349942143e+04 
       1.744864464715e-02       3.481421572186e+04 
       1.757037790266e-02       3.475204203515e+04 
       1.769216584837e-02       3.468823722326e+04 
       1.781400940976e-02       3.462140696576e+04 
       1.793590953766e-02       3.455578445541e+04 
       1.805786720876e-02       3.448737711855e+04 
       1.817988342602e-02       3.441552592680e+04 
       1.830195921910e-02       3.434517998293e+04 
       1.842409564493e-02       3.427050814071e+04 
       1.854629378812e-02       3.419578808998e+04 
       1.866855476152e-02       3.412092384547e+04 
       1.879087970675e-02       3.404348383760e+04 
       1.891326979478e-02       3.396397227200e+04 
       1.903572622645e-02       3.388248024809e+04 
       1.915825023312e-02       3.380079835788e+04 
       1.928084307726e-02       3.371920008656e+04 
       1.940350605309e-02       3.363496618588e+04 
       1.952624048723e-02       3.354828500034e+04 
       1.964904773941e-02       3.346095819962e+04 
       1.977192920312e-02       3.337304390075e+04 
       1.989488630640e-02       3.328462183983e+04 
       2.001792051253e-02       3.319352867036e+04 
       2.014103332084e-02       3.310227250625e+04 
       2.026422626748e-02       3.301021526591e+04 
       2.038750092626e-02       3.291560754707e+04 
       2.051085890952e-02       3.282167040128e+04 
       2.063430186896e-02       3.272593774915e+04 
       2.075783149656e-02       3.262869602568e+04 
       2.088144952555e-02       3.253110320688e+04 
       2.100515773130e-02       3.243249830224e+04 
       2.112895793240e-02       3.233316558698e+04 
       2.125285199161e-02       3.223261666358e+04 
       2.137684181694e-02       3.213122235870e+04 
       2.150092936277e-02       3.202892408304e+04 
       2.162511663091e-02       3.192583100659e+04 
       2.174940567184e-02       3.182224860297e+04 
       2.187379858583e-02       3.171711850947e+04 
       2.199829752422e-02       3.161157709944e+04 
       2.212290469070e-02       3.150533760978e+04 
       2.224762234258e-02       3.139816577863e+04 
       2.237245279219e-02       3.129068302717e+04 
       2.249739840826e-02       3.118325189826e+04 
       2.262246161738e-02       3.107331042088e+04 
       2.274764490546e-02       3.096360444586e+04 
       2.287295081933e-02       3.085341915279e+04 
       2.299838196826e-02       3.074278498915e+04 
       2.312394102566e-02       3.063127626675e+04 
       2.324963073075e-02       3.051923821184e+04 
       2.337545389032e-02       3.040674764261e+04 
       2.350141338054e-02       3.029376112815e+04 
       2.362751214884e-02       3.018012936493e+04 
       2.375375321583e-02       3.006614168452e+04 
       2.388013967732e-02       2.995175350446e+04 
       2.400667470639e-02       2.983672711115e+04 
       2.413336155548e-02       2.972135817019e+04 
       2.426020355869e-02       2.960613106750e+04 
       2.438720413397e-02       2.948945325237e+04 
       2.451436678558e-02       2.937362892415e+04 
       2.464169510648e-02       2.925616263361e+04 
       2.476919278088e-02       2.913875715622e+04 
       2.489686358687e-02       2.902138202046e+04 
       2.502471139917e-02       2.890428278710e+04 
       2.515274019189e-02       2.878537363608e+04 
       2.528095404149e-02       2.866758453186e+04 
       2.540935712979e-02       2.854890689588e+04 
       2.553795374712e-02       2.842971049104e+04 
       2.566674829555e-02       2.831082168122e+04 
       2.579574529228e-02       2.819096925147e+04 
       2.592494937312e-02       2.807164593413e+04 
       2.605436529613e-02       2.795206278451e+04 
       2.618399794540e-02       2.783170387611e+04 
       2.631385233491e-02       2.771154745533e+04 
       2.644393361266e-02       2.759123915901e+04 
       2.657424706481e-02       2.747141870247e+04 
       2.670479812012e-02       2.735074160218e+04 
       2.683559235450e-02       2.722987701279e+04 
       2.696663549569e-02       2.710958042800e+04 
       2.709793342824e-02       2.698895420416e+04 
       2.722949219861e-02       2.686814278071e+04 
       2.736131802048e-02       2.674723561689e+04 
       2.749341728033e-02       2.662637766218e+04 
       2.762579654319e-02       2.650500084351e+04 
       2.775846255865e-02       2.638419909158e+04 
       2.789142226715e-02       2.626344874076e+04 
       2.802468280648e-02       2.614202463434e+04 
       2.815825151862e-02       2.602129336421e+04 
       2.829213595682e-02       2.590024499595e+04 
       2.842634389300e-02       2.577940159879e+04 
       2.856088332551e-02       2.565856635725e+04 
       2.869576248720e-02       2.553766789473e+04 
       2.883098985382e-02       2.541703305671e+04 
       2.896657415288e-02       2.529629646978e+04 
       2.910252437280e-02       2.517582056049e+04 
       2.923884977261e-02       2.505529701063e+04 
       2.937555989197e-02       2.493494416849e+04 
       2.951266456174e-02       2.481468435429e+04 
       2.965017391502e-02       2.469461986250e+04 
       2.978809839870e-02       2.457463209811e+04 
       2.992644878560e-02       2.445492155147e+04 
       3.006523618713e-02       2.433482460528e+04 
       3.020447206668e-02       2.421540229676e+04 
       3.034416825352e-02       2.409563921863e+04 
       3.048433695754e-02       2.397638283869e+04 
       3.062499078465e-02       2.385727395544e+04 
       3.076614275293e-02       2.373849983227e+04 
       3.090780630972e-02       2.361968651321e+04 
       3.104999534950e-02       2.350094203807e+04 
       3.119272423271e-02       2.338243283847e+04 
       3.133600780565e-02       2.326422147911e+04 
       3.147986142134e-02       2.314640076106e+04 
       3.162430096158e-02       2.302872787711e+04 
       3.176934286017e-02       2.291099845029e+04 
       3.191500412743e-02       2.279351007475e+04 
       3.206130237611e-02       2.267640402656e+04 
       3.220825584872e-02       2.255953536424e+04 
       3.235588344645e-02       2.244292289455e+04 
       3.250420475974e-02       2.232642465227e+04 
       3.265324010067e-02       2.221009425100e+04 
       3.280301053718e-02       2.209391531450e+04 
       3.295353792946e-02       2.197825940386e+04 
       3.310484496843e-02       2.186274198959e+04 
       3.325695521660e-02       2.174726049241e+04 
       3.340989315152e-02       2.163219026701e+04 
       3.356368421185e-02       2.151740233735e+04 
       3.371835484646e-02       2.140286210832e+04 
       3.387393256658e-02       2.128858778450e+04 
       3.403044600142e-02       2.117456720110e+04 
       3.418792495742e-02       2.106081695046e+04 
       3.434640048143e-02       2.094728189942e+04 
       3.450590492823e-02       2.083401617225e+04 
       3.466647203260e-02       2.072092130476e+04 
       3.482813698640e-02       2.060832076341e+04 
       3.499093652112e-02       2.049571521781e+04 
       3.515490899628e-02       2.038354048776e+04 
       3.532009449420e-02       2.027150045893e+04 
       3.548653492177e-02       2.015978381896e+04 
       3.565427411971e-02       2.004831267273e+04 
       3.582335798017e-02       1.993702977012e+04 
       3.599383457322e-02       1.982611999802e+04 
       3.616575428325e-02       1.971536154640e+04 
       3.633916995605e-02       1.960496463973e+04 
       3.651413705773e-02       1.949460434119e+04 
       3.669071384648e-02       1.938490585233e+04 
       3.686896155858e-02       1.927487809293e+04 
       3.704894460990e-02       1.916559550958e+04 
       3.723073081472e-02       1.905610234695e+04 
       3.741439162332e-02       1.894690550910e+04 
       3.760000238063e-02       1.883798473270e+04 
       3.778764260795e-02       1.872935948778e+04 
       3.797739631034e-02       1.862093557311e+04 
       3.816935231248e-02       1.851267106532e+04 
       3.836360462620e-02       1.840454819765e+04 
       3.856025285329e-02       1.829664263443e+04 
       3.875940262758e-02       1.818890974095e+04 
       3.896116610116e-02       1.808145764134e+04 
       3.916566247977e-02       1.797403364720e+04 
       3.937301861357e-02       1.786680286684e+04 
       3.958336965019e-02       1.775973321964e+04 
       3.979685975785e-02       1.765262147904e+04 
       4.001364292784e-02       1.754596805300e+04 
       4.023388386670e-02       1.743918537459e+04 
       4.045775899036e-02       1.733263058591e+04 
       4.068545753416e-02       1.722607211827e+04 
       4.091718279518e-02       1.711957290296e+04 
       4.115315352591e-02       1.701325829465e+04 
       4.139360550141e-02       1.690683472065e+04 
       4.163879328619e-02       1.680048295413e+04 
       4.188899223130e-02       1.669411281158e+04 
       4.214450073810e-02       1.658818824304e+04 
       4.240564283129e-02       1.648167221320e+04 
       4.267277109246e-02       1.637498418494e+04 
       4.294627001477e-02       1.626846352255e+04 
       4.322655985164e-02       1.616210895074e+04 
       4.351410104689e-02       1.605534701518e+04 
       4.380939935214e-02       1.594839413302e+04 
       4.411301175911e-02       1.584137084254e+04 
       4.442555340291e-02       1.573365297651e+04 
       4.474770562646e-02       1.562597811400e+04 
       4.508022543960e-02       1.551795401921e+04 
       4.542395666104e-02       1.540965656314e+04 
       4.577984309952e-02       1.530145401475e+04 
       4.614894421766e-02       1.519215632143e+04 
       4.653245383185e-02       1.508186223032e+04 
       4.693172254203e-02       1.497166654380e+04 
       4.734828476375e-02       1.486057163225e+04 
       4.778389146287e-02       1.474855095305e+04 
       4.824054998274e-02       1.463575860819e+04 
       4.872057272055e-02       1.452063453334e+04 
       4.922663686821e-02       1.440557370681e+04 
       4.976185799665e-02       1.428916877185e+04 
       5.032988093209e-02       1.416997602332e+04 
       5.093499211888e-02       1.404874804828e+04 
       5.158225839170e-02       1.392500229264e+04 
       5.227769755126e-02       1.379791107414e+04 
       5.302848583258e-02       1.366678149458e+04 
       5.384320520093e-02       1.353045536228e+04 
       5.473212731918e-02       1.338754731975e+04 
       5.570751715536e-02       1.323594190191e+04 
       5.678391098886e-02       1.307367253662e+04 
       5.797827134660e-02       1.289521771831e+04 
       5.930983501792e-02       1.269679719176e+04 
       6.079935168893e-02       1.247009508766e+04 
       6.246730767058e-02       1.220715196414e+04 
       6.433079169734e-02       1.189643049797e+04 
       6.639915307829e-02       1.152695851247e+04 
       6.866967362021e-02       1.108963346657e+04 
       7.112555870750e-02       1.058189889623e+04 
       7.373820207948e-02       1.001113599765e+04 
       7.647322032950e-02       9.395744722588e+03 
       7.929722164355e-02       8.759863620484e+03 
       8.218233344320e-02       8.132321557575e+03 
       8.510767766872e-02       7.539142089500e+03 
       8.805874537534e-02       7.001221692997e+03 
       9.102594585147e-02       6.531916384321e+03 
       9.400314129022e-02       6.137145163345e+03 
       9.698648312161e-02       5.816319996462e+03 
       9.997358860729e-02       5.563262593426e+03 
       1.029629939337e-01       5.368045451222e+03 
       1.059538039904e-01       5.217733147834e+03 
       1.089454728900e-01       5.098330076552e+03 
       1.119376681863e-01       4.995409390344e+03 
       1.149301875204e-01       4.895795864677e+03 
       1.179229076907e-01       4.788216429123e+03 
       1.209157536205e-01       4.664392560538e+03 
       1.239086794805e-01       4.520274377325e+03 
       1.269016572181e-01       4.355049950491e+03 
       1.298946695889e-01       4.171063368227e+03 
       1.328877059254e-01       3.974264298189e+03 
       1.358807595678e-01       3.771559950316e+03 
       1.388738263029e-01       3.570292225282e+03 
       1.418669034158e-01       3.377653533178e+03 
       1.448599891133e-01       3.199757138281e+03 
       1.478530821724e-01       3.040569562769e+03 
       1.508461817270e-01       2.902800319470e+03 
       1.538392871360e-01       2.786869638955e+03 
       1.568323979043e-01       2.691884471728e+03 
       1.598255136323e-01       2.615384464508e+03 
       1.628186339859e-01       2.553988925305e+03 
       1.658117586770e-01       2.503662764690e+03 
       1.688048874513e-01       2.460308190638e+03 
       1.717980200805e-01       2.420303224225e+03 
       1.747911563570e-01       2.379545001557e+03 
       1.777842960901e-01       2.334467109832e+03 
       1.807774391038e-01       2.283357074130e+03 
       1.837705852347e-01       2.225175191258e+03 
       1.867637343307e-01       2.160182228736e+03 
       1.897568862497e-01       2.089529495063e+03 
       1.927500408588e-01       2.015286042825e+03 
       1.957431980334e-01       1.939629573329e+03 
       1.987363576566e-01       1.864969435656e+03 
       2.017295196184e-01       1.793153141147e+03 
       2.047226838156e-01       1.725981118853e+03 
       2.077158501507e-01       1.664613862374e+03 
       2.107090185321e-01       1.609697542155e+03 
