# Matter power spectrum P(k) at redshift z=0
# for k=9.57145e-06 to 0.577206 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.221617123378e-02       3.692786469748e+04 
       1.233581634804e-02       3.698598389102e+04 
       1.245549705554e-02       3.704070542626e+04 
       1.257521334414e-02       3.709029953612e+04 
       1.269496522622e-02       3.713949850537e+04 
       1.281475273821e-02       3.718396042436e+04 
       1.293457594006e-02       3.722503569987e+04 
       1.305443491480e-02       3.726282013520e+04 
       1.317432976814e-02       3.729635638842e+04 
       1.329426062806e-02       3.732870283356e+04 
       1.341422764452e-02       3.735482183023e+04 
       1.353423098912e-02       3.737992806916e+04 
       1.365427085482e-02       3.740388324883e+04 
       1.377434745572e-02       3.742096783700e+04 
       1.389446102683e-02       3.743910137756e+04 
       1.401461182387e-02       3.745231762290e+04 
       1.413480012314e-02       3.746116883480e+04 
       1.425502622135e-02       3.746792602590e+04 
       1.437529043551e-02       3.747244874958e+04 
       1.449559310287e-02       3.747416731363e+04 
       1.461593458083e-02       3.747319293120e+04 
       1.473631524689e-02       3.746945079101e+04 
       1.485673549864e-02       3.746335673664e+04 
       1.497719575377e-02       3.745571792748e+04 
       1.509769645005e-02       3.744243142038e+04 
       1.521823804540e-02       3.742993903105e+04 
       1.533882101794e-02       3.741163097026e+04 
       1.545944586603e-02       3.739411597067e+04 
       1.558011310844e-02       3.737089074541e+04 
       1.570082328436e-02       3.734682305345e+04 
       1.582157695362e-02       3.732215476740e+04 
       1.594237469677e-02       3.729325966363e+04 
       1.606321711529e-02       3.726087505691e+04 
       1.618410483172e-02       3.722824626730e+04 
       1.630503848989e-02       3.719211932476e+04 
       1.642601875515e-02       3.715446898810e+04 
       1.654704631453e-02       3.711612900859e+04 
       1.666812187706e-02       3.707409115516e+04 
       1.678924617399e-02       3.702881604918e+04 
       1.691041995906e-02       3.698309234251e+04 
       1.703164400882e-02       3.693604798434e+04 
       1.715291912294e-02       3.688497148685e+04 
       1.727424612450e-02       3.683339893520e+04 
       1.739562586037e-02       3.678020103321e+04 
       1.751705920156e-02       3.672263582520e+04 
       1.763854704358e-02       3.666497956389e+04 
       1.776009030683e-02       3.660549858014e+04 
       1.788168993705e-02       3.654587920031e+04 
       1.800334690568e-02       3.648095666541e+04 
       1.812506221039e-02       3.641799144532e+04 
       1.824683687543e-02       3.635025869466e+04 
       1.836867195221e-02       3.628230019151e+04 
       1.849056851973e-02       3.621350834601e+04 
       1.861252768515e-02       3.614168470660e+04 
       1.873455058425e-02       3.606776107995e+04 
       1.885663838207e-02       3.599377372275e+04 
       1.897879227340e-02       3.591860294917e+04 
       1.910101348344e-02       3.584145665417e+04 
       1.922330326835e-02       3.576198752666e+04 
       1.934566291594e-02       3.568085947887e+04 
       1.946809374629e-02       3.559985358196e+04 
       1.959059711243e-02       3.551709419140e+04 
       1.971317440105e-02       3.543140054877e+04 
       1.983582703321e-02       3.534516082831e+04 
       1.995855646508e-02       3.525952700250e+04 
       2.008136418873e-02       3.517051306756e+04 
       2.020425173289e-02       3.508065830608e+04 
       2.032722066381e-02       3.499020598748e+04 
       2.045027258607e-02       3.489858531726e+04 
       2.057340914346e-02       3.480507919641e+04 
       2.069663201988e-02       3.471030123465e+04 
       2.081994294029e-02       3.461584255050e+04 
       2.094334367162e-02       3.451942961328e+04 
       2.106683602380e-02       3.442084591268e+04 
       2.119042185077e-02       3.432279446976e+04 
       2.131410305150e-02       3.422262614100e+04 
       2.143788157111e-02       3.412297830275e+04 
       2.156175940197e-02       3.402123322645e+04 
       2.168573858486e-02       3.391836380271e+04 
       2.180982121017e-02       3.381490651498e+04 
       2.193400941909e-02       3.371073267867e+04 
       2.205830540493e-02       3.360605124915e+04 
       2.218271141438e-02       3.349979279271e+04 
       2.230722974889e-02       3.339312061535e+04 
       2.243186276606e-02       3.328557104546e+04 
       2.255661288105e-02       3.317738750357e+04 
       2.268148256811e-02       3.306849434113e+04 
       2.280647436207e-02       3.295874952032e+04 
       2.293159085995e-02       3.284823662586e+04 
       2.305683472259e-02       3.273716823819e+04 
       2.318220867631e-02       3.262536110081e+04 
       2.330771551471e-02       3.251299408509e+04 
       2.343335810041e-02       3.239992060665e+04 
       2.355913936697e-02       3.228629253747e+04 
       2.368506232077e-02       3.217206662590e+04 
       2.381113004302e-02       3.205728528510e+04 
       2.393734569181e-02       3.194204139227e+04 
       2.406371250425e-02       3.182690279874e+04 
       2.419023379865e-02       3.170988309634e+04 
       2.431691297683e-02       3.159300387021e+04 
       2.444375352641e-02       3.147551626521e+04 
       2.457075902333e-02       3.135804878013e+04 
       2.469793313431e-02       3.123986197418e+04 
       2.482527961950e-02       3.112132939083e+04 
       2.495280233515e-02       3.100233256204e+04 
       2.508050523645e-02       3.088365511073e+04 
       2.520839238040e-02       3.076394736832e+04 
       2.533646792884e-02       3.064366340507e+04 
       2.546473615153e-02       3.052275305429e+04 
       2.559320142947e-02       3.040302293629e+04 
       2.572186825812e-02       3.028178905590e+04 
       2.585074125101e-02       3.016004440819e+04 
       2.597982514326e-02       3.003862958843e+04 
       2.610912479535e-02       2.991739533956e+04 
       2.623864519701e-02       2.979490444167e+04 
       2.636839147125e-02       2.967313893729e+04 
       2.649836887856e-02       2.955055096637e+04 
       2.662858282127e-02       2.942809753190e+04 
       2.675903884803e-02       2.930518536364e+04 
       2.688974265860e-02       2.918248500169e+04 
       2.702070010864e-02       2.905948225401e+04 
       2.715191721489e-02       2.893626033956e+04 
       2.728340016042e-02       2.881302419452e+04 
       2.741515530014e-02       2.868946541952e+04 
       2.754718916656e-02       2.856596374869e+04 
       2.767950847574e-02       2.844206582641e+04 
       2.781212013354e-02       2.831877059021e+04 
       2.794503124211e-02       2.819514354464e+04 
       2.807824910663e-02       2.807112660390e+04 
       2.821178124241e-02       2.794725025569e+04 
       2.834563538219e-02       2.782384975617e+04 
       2.847981948389e-02       2.769966035462e+04 
       2.861434173858e-02       2.757579133844e+04 
       2.874921057891e-02       2.745200379737e+04 
       2.888443468781e-02       2.732831896625e+04 
       2.902002300766e-02       2.720435733756e+04 
       2.915598474988e-02       2.708110236300e+04 
       2.929232940493e-02       2.695700553663e+04 
       2.942906675276e-02       2.683348514623e+04 
       2.956620687379e-02       2.670997033525e+04 
       2.970376016042e-02       2.658646600320e+04 
       2.984173732904e-02       2.646316076197e+04 
       2.998014943265e-02       2.633983065479e+04 
       3.011900787409e-02       2.621688897056e+04 
       3.025832441994e-02       2.609386750985e+04 
       3.039811121509e-02       2.597056052714e+04 
       3.053838079802e-02       2.584784565468e+04 
       3.067914611693e-02       2.572562865988e+04 
       3.082042054660e-02       2.560274137871e+04 
       3.096221790620e-02       2.548051169924e+04 
       3.110455247799e-02       2.535826258098e+04 
       3.124743902706e-02       2.523582060336e+04 
       3.139089282201e-02       2.511419448251e+04 
       3.153492965690e-02       2.499211873680e+04 
       3.167956587426e-02       2.487085891304e+04 
       3.182481838948e-02       2.474909424188e+04 
       3.197070471645e-02       2.462783188141e+04 
       3.211724299478e-02       2.450675825611e+04 
       3.226445201841e-02       2.438590940752e+04 
       3.241235126604e-02       2.426529192935e+04 
       3.256096093318e-02       2.414515886759e+04 
       3.271030196620e-02       2.402465086319e+04 
       3.286039609836e-02       2.390490361331e+04 
       3.301126588802e-02       2.378477924571e+04 
       3.316293475922e-02       2.366534077200e+04 
       3.331542704469e-02       2.354571859255e+04 
       3.346876803166e-02       2.342651798972e+04 
       3.362298401046e-02       2.330755545838e+04 
       3.377810232634e-02       2.318886234182e+04 
       3.393415143458e-02       2.307031443396e+04 
       3.409116095925e-02       2.295209367512e+04 
       3.424916175589e-02       2.283404211154e+04 
       3.440818597842e-02       2.271620624422e+04 
       3.456826715065e-02       2.259859966287e+04 
       3.472944024266e-02       2.248126104798e+04 
       3.489174175265e-02       2.236414226199e+04 
       3.505520979455e-02       2.224726100875e+04 
       3.521988419199e-02       2.213050956266e+04 
       3.538580657911e-02       2.201411539672e+04 
       3.555302050891e-02       2.189797457214e+04 
       3.572157156969e-02       2.178229058360e+04 
       3.589150751045e-02       2.166655884823e+04 
       3.606287837599e-02       2.155080353642e+04 
       3.623573665262e-02       2.143532717005e+04 
       3.641013742556e-02       2.132024957337e+04 
       3.658613854908e-02       2.120533545287e+04 
       3.676380083065e-02       2.109066970373e+04 
       3.694318823054e-02       2.097656719849e+04 
       3.712436807837e-02       2.086193917997e+04 
       3.730741130843e-02       2.074785301590e+04 
       3.749239271557e-02       2.063397955033e+04 
       3.767939123414e-02       2.052023941437e+04 
       3.786849024207e-02       2.040712662804e+04 
       3.805977789327e-02       2.029383861064e+04 
       3.825334748117e-02       2.018030851018e+04 
       3.844929783718e-02       2.006714889315e+04 
       3.864773376792e-02       1.995443860164e+04 
       3.884876653602e-02       1.984166864410e+04 
       3.905251438944e-02       1.972908943310e+04 
       3.925910314550e-02       1.961668685181e+04 
       3.946866683631e-02       1.950432975826e+04 
       3.968134842338e-02       1.939210183213e+04 
       3.989730059043e-02       1.928002213477e+04 
       4.011668662480e-02       1.916797929440e+04 
       4.033968139918e-02       1.905589562269e+04 
       4.056647246778e-02       1.894404107395e+04 
       4.079726129274e-02       1.883211601972e+04 
       4.103226461969e-02       1.872028327123e+04 
       4.127171602421e-02       1.860839940920e+04 
       4.151586765490e-02       1.849653794179e+04 
       4.176499220322e-02       1.838462195543e+04 
       4.201938513555e-02       1.827309104178e+04 
       4.227936722976e-02       1.816093794744e+04 
       4.254528746621e-02       1.804855756652e+04 
       4.281752633293e-02       1.793631385579e+04 
       4.309649961625e-02       1.782431306548e+04 
       4.338266276298e-02       1.771124623849e+04 
       4.367651591733e-02       1.759892572219e+04 
       4.397860975829e-02       1.748544999028e+04 
       4.428955228982e-02       1.737234252388e+04 
       4.461001677032e-02       1.725838976424e+04 
       4.494075101002e-02       1.714495641167e+04 
       4.528258831801e-02       1.702983375682e+04 
       4.563646044760e-02       1.691489029041e+04 
       4.600341297356e-02       1.679906616689e+04 
       4.638462364194e-02       1.668318932911e+04 
       4.678142437043e-02       1.656666729373e+04 
       4.719532775120e-02       1.644864834382e+04 
       4.762805913063e-02       1.632997772018e+04 
       4.808159562306e-02       1.620982162767e+04 
       4.855821377363e-02       1.608889346787e+04 
       4.906054803390e-02       1.596566355202e+04 
       4.959166276635e-02       1.584186166477e+04 
       5.015514115246e-02       1.571511157298e+04 
       5.075519511921e-02       1.558621072403e+04 
       5.139680113343e-02       1.545410915621e+04 
       5.208586722367e-02       1.531874563910e+04 
       5.282943638946e-02       1.517879082227e+04 
       5.363592964564e-02       1.503323148633e+04 
       5.451542636122e-02       1.487961918531e+04 
       5.547996664948e-02       1.471759161696e+04 
       5.654383409812e-02       1.454246571447e+04 
       5.772372769157e-02       1.435139998676e+04 
       5.903864900024e-02       1.413883959860e+04 
       6.050921441577e-02       1.389572687164e+04 
       6.215599369542e-02       1.361301897676e+04 
       6.399651340748e-02       1.327953956824e+04 
       6.604100510246e-02       1.288256540769e+04 
       6.828800148042e-02       1.241285743089e+04 
       7.072201619106e-02       1.186580733717e+04 
       7.331538420673e-02       1.124841621822e+04 
       7.603403783865e-02       1.058034861295e+04 
       7.884433894830e-02       9.888156227334e+03 
       8.171787190494e-02       9.201584909332e+03 
       8.463317159724e-02       8.550313951255e+03 
       8.757523533836e-02       7.956847144478e+03 
       9.053410865190e-02       7.436911348715e+03 
       9.350340560250e-02       6.997656704555e+03 
       9.647911600833e-02       6.638897207506e+03 
       9.945875476925e-02       6.354466590866e+03 
       1.024407943260e-01       6.133627443085e+03 
       1.054243002752e-01       5.962496280052e+03 
       1.084087026588e-01       5.825823429717e+03 
       1.113936543389e-01       5.707697262223e+03 
       1.143789440092e-01       5.593974363726e+03 
       1.173644430250e-01       5.471517533957e+03 
       1.203500730002e-01       5.331713024591e+03 
       1.233357860935e-01       5.170002938410e+03 
       1.263215530286e-01       4.984573779356e+03 
       1.293073558160e-01       4.779144203267e+03 
       1.322931833341e-01       4.559271900951e+03 
       1.352790286455e-01       4.332723267643e+03 
       1.382648873669e-01       4.107715113389e+03 
       1.412507566787e-01       3.892037100971e+03 
       1.442366347224e-01       3.692456012579e+03 
       1.472225202344e-01       3.513490971661e+03 
       1.502084123225e-01       3.358160693455e+03 
       1.531943103289e-01       3.226947696634e+03 
       1.561802137470e-01       3.119035668676e+03 
       1.591661221697e-01       3.031589858846e+03 
       1.621520352573e-01       2.960922371709e+03 
       1.651379527175e-01       2.902602193038e+03 
       1.681238742928e-01       2.851915142226e+03 
       1.711097997524e-01       2.805073429340e+03 
       1.740957288863e-01       2.757244632148e+03 
       1.770816615020e-01       2.705060569901e+03 
       1.800675974220e-01       2.646173542998e+03 
       1.830535364812e-01       2.579458005329e+03 
       1.860394785262e-01       2.505387768723e+03 
       1.890254234138e-01       2.425002758856e+03 
       1.920113710098e-01       2.340672762943e+03 
       1.949973211886e-01       2.254873139029e+03 
       1.979832738325e-01       2.170226389449e+03 
       2.009692288305e-01       2.088848537577e+03 
       2.039551860784e-01       2.012726601327e+03 
       2.069411454783e-01       1.943078370978e+03 
       2.099271069375e-01       1.880667296926e+03 
       2.129130703688e-01       1.825820711122e+03 
       2.158990356898e-01       1.778267063561e+03 
       2.188850028227e-01       1.737342366559e+03 
       2.218709716938e-01       1.701891785184e+03 
       2.248569422333e-01       1.670700086086e+03 
       2.278429143754e-01       1.642193000967e+03 
       2.308288880573e-01       1.614948405869e+03 
       2.338148632198e-01       1.587680573977e+03 
       2.368008398064e-01       1.559257550592e+03 
       2.397868177637e-01       1.529246473154e+03 
       2.427727970407e-01       1.497149812690e+03 
       2.457587775891e-01       1.463107804019e+03 
       2.487447593627e-01       1.427303668958e+03 
       2.517307423178e-01       1.390276657827e+03 
       2.547167264125e-01       1.352716333640e+03 
       2.577027116071e-01       1.315328129769e+03 
       2.606886978634e-01       1.278896013917e+03 
       2.636746851452e-01       1.244166637498e+03 
       2.666606734180e-01       1.211674879378e+03 
       2.696466626485e-01       1.181597248743e+03 
       2.726326528051e-01       1.154193163561e+03 
       2.756186438577e-01       1.129306728822e+03 
       2.786046357771e-01       1.106705755474e+03 
       2.815906285357e-01       1.086066367347e+03 
       2.845766221070e-01       1.066900552740e+03 
       2.875626164655e-01       1.048892145854e+03 
       2.905486115868e-01       1.031588644124e+03 
       2.935346074474e-01       1.014598229988e+03 
       2.965206040251e-01       9.975678897723e+02 
       2.995066012981e-01       9.802672862869e+02 
       3.024925992459e-01       9.625127423128e+02 
       3.054785978484e-01       9.442123182602e+02 
       3.084645970867e-01       9.255645700563e+02 
       3.114505969424e-01       9.066415295479e+02 
       3.144365973977e-01       8.876446006285e+02 
       3.174225984357e-01       8.688534460142e+02 
       3.204086000400e-01       8.504556856676e+02 
